District,Month,Visitors,Year
Adilabad,January,0,2018
Adilabad,February,0,2018
Adilabad,March,0,2018
Adilabad,April,0,2018
Adilabad,May,0,2018
Adilabad,June,0,2018
Adilabad,July,2,2018
Adilabad,August,3,2018
Adilabad,September,0,2018
Adilabad,October,0,2018
Adilabad,November,0,2018
Adilabad,December,0,2018
Bhadradri Kothagudem,January,0,2018
Bhadradri Kothagudem,February,0,2018
Bhadradri Kothagudem,March,0,2018
Bhadradri Kothagudem,April,0,2018
Bhadradri Kothagudem,May,0,2018
Bhadradri Kothagudem,June,0,2018
Bhadradri Kothagudem,July,0,2018
Bhadradri Kothagudem,August,0,2018
Bhadradri Kothagudem,September,0,2018
Bhadradri Kothagudem,October,0,2018
Bhadradri Kothagudem,November,0,2018
Bhadradri Kothagudem,December,0,2018
Hyderabad,January,35379,2018
Hyderabad,February,30414,2018
Hyderabad,March,27535,2018
Hyderabad,April,20830,2018
Hyderabad,May,21554,2018
Hyderabad,June,24677,2018
Hyderabad,July,17456,2018
Hyderabad,August,31217,2018
Hyderabad,September,22809,2018
Hyderabad,October,30072,2018
Hyderabad,November,23487,2018
Hyderabad,December,29358,2018
Jagtial,January,0,2018
Jagtial,February,0,2018
Jagtial,March,0,2018
Jagtial,April,0,2018
Jagtial,May,0,2018
Jagtial,June,0,2018
Jagtial,July,0,2018
Jagtial,August,0,2018
Jagtial,September,0,2018
Jagtial,October,0,2018
Jagtial,November,0,2018
Jagtial,December,0,2018
Jangaon,January,0,2018
Jangaon,February,0,2018
Jangaon,March,0,2018
Jangaon,April,0,2018
Jangaon,May,0,2018
Jangaon,June,0,2018
Jangaon,July,0,2018
Jangaon,August,0,2018
Jangaon,September,0,2018
Jangaon,October,0,2018
Jangaon,November,0,2018
Jangaon,December,0,2018
Jayashankar Bhoopalpally,January,50,2018
Jayashankar Bhoopalpally,February,60,2018
Jayashankar Bhoopalpally,March,70,2018
Jayashankar Bhoopalpally,April,45,2018
Jayashankar Bhoopalpally,May,40,2018
Jayashankar Bhoopalpally,June,35,2018
Jayashankar Bhoopalpally,July,40,2018
Jayashankar Bhoopalpally,August,35,2018
Jayashankar Bhoopalpally,September,40,2018
Jayashankar Bhoopalpally,October,40,2018
Jayashankar Bhoopalpally,November,40,2018
Jayashankar Bhoopalpally,December,44,2018
Jogulamba Gadwal,January,36,2018
Jogulamba Gadwal,February,6,2018
Jogulamba Gadwal,March,22,2018
Jogulamba Gadwal,April,15,2018
Jogulamba Gadwal,May,19,2018
Jogulamba Gadwal,June,19,2018
Jogulamba Gadwal,July,37,2018
Jogulamba Gadwal,August,42,2018
Jogulamba Gadwal,September,35,2018
Jogulamba Gadwal,October,13,2018
Jogulamba Gadwal,November,45,2018
Jogulamba Gadwal,December,11,2018
Kamareddy,January,0,2018
Kamareddy,February,0,2018
Kamareddy,March,0,2018
Kamareddy,April,0,2018
Kamareddy,May,0,2018
Kamareddy,June,0,2018
Kamareddy,July,0,2018
Kamareddy,August,0,2018
Kamareddy,September,0,2018
Kamareddy,October,0,2018
Kamareddy,November,0,2018
Kamareddy,December,0,2018
Karimnagar,January,0,2018
Karimnagar,February,0,2018
Karimnagar,March,0,2018
Karimnagar,April,0,2018
Karimnagar,May,0,2018
Karimnagar,June,0,2018
Karimnagar,July,0,2018
Karimnagar,August,0,2018
Karimnagar,September,0,2018
Karimnagar,October,0,2018
Karimnagar,November,0,2018
Karimnagar,December,0,2018
Khammam,January,0,2018
Khammam,February,0,2018
Khammam,March,0,2018
Khammam,April,0,2018
Khammam,May,0,2018
Khammam,June,0,2018
Khammam,July,0,2018
Khammam,August,0,2018
Khammam,September,0,2018
Khammam,October,0,2018
Khammam,November,0,2018
Khammam,December,0,2018
Komaram Bheem Asifabad,January,0,2018
Komaram Bheem Asifabad,February,0,2018
Komaram Bheem Asifabad,March,0,2018
Komaram Bheem Asifabad,April,0,2018
Komaram Bheem Asifabad,May,0,2018
Komaram Bheem Asifabad,June,0,2018
Komaram Bheem Asifabad,July,0,2018
Komaram Bheem Asifabad,August,0,2018
Komaram Bheem Asifabad,September,0,2018
Komaram Bheem Asifabad,October,0,2018
Komaram Bheem Asifabad,November,0,2018
Komaram Bheem Asifabad,December,0,2018
Mahabubabad,January,0,2018
Mahabubabad,February,0,2018
Mahabubabad,March,0,2018
Mahabubabad,April,0,2018
Mahabubabad,May,0,2018
Mahabubabad,June,0,2018
Mahabubabad,July,0,2018
Mahabubabad,August,0,2018
Mahabubabad,September,0,2018
Mahabubabad,October,0,2018
Mahabubabad,November,0,2018
Mahabubabad,December,0,2018
Mahbubnagar,January,45,2018
Mahbubnagar,February,29,2018
Mahbubnagar,March,28,2018
Mahbubnagar,April,26,2018
Mahbubnagar,May,26,2018
Mahbubnagar,June,26,2018
Mahbubnagar,July,47,2018
Mahbubnagar,August,44,2018
Mahbubnagar,September,52,2018
Mahbubnagar,October,37,2018
Mahbubnagar,November,68,2018
Mahbubnagar,December,26,2018
Mancherial,January,0,2018
Mancherial,February,0,2018
Mancherial,March,0,2018
Mancherial,April,0,2018
Mancherial,May,0,2018
Mancherial,June,0,2018
Mancherial,July,0,2018
Mancherial,August,0,2018
Mancherial,September,0,2018
Mancherial,October,0,2018
Mancherial,November,0,2018
Mancherial,December,0,2018
Medak,January,0,2018
Medak,February,0,2018
Medak,March,0,2018
Medak,April,0,2018
Medak,May,0,2018
Medak,June,0,2018
Medak,July,0,2018
Medak,August,0,2018
Medak,September,0,2018
Medak,October,0,2018
Medak,November,0,2018
Medak,December,0,2018
Medchal,January,0,2018
Medchal,February,0,2018
Medchal,March,0,2018
Medchal,April,0,2018
Medchal,May,0,2018
Medchal,June,0,2018
Medchal,July,0,2018
Medchal,August,0,2018
Medchal,September,0,2018
Medchal,October,0,2018
Medchal,November,0,2018
Medchal,December,0,2018
Nagarkurnool,January,35,2018
Nagarkurnool,February,15,2018
Nagarkurnool,March,14,2018
Nagarkurnool,April,15,2018
Nagarkurnool,May,19,2018
Nagarkurnool,June,15,2018
Nagarkurnool,July,17,2018
Nagarkurnool,August,22,2018
Nagarkurnool,September,22,2018
Nagarkurnool,October,8,2018
Nagarkurnool,November,30,2018
Nagarkurnool,December,10,2018
Nalgonda,January,0,2018
Nalgonda,February,0,2018
Nalgonda,March,0,2018
Nalgonda,April,0,2018
Nalgonda,May,0,2018
Nalgonda,June,0,2018
Nalgonda,July,0,2018
Nalgonda,August,0,2018
Nalgonda,September,0,2018
Nalgonda,October,0,2018
Nalgonda,November,0,2018
Nalgonda,December,0,2018
Nirmal,January,0,2018
Nirmal,February,0,2018
Nirmal,March,0,2018
Nirmal,April,0,2018
Nirmal,May,0,2018
Nirmal,June,0,2018
Nirmal,July,0,2018
Nirmal,August,2,2018
Nirmal,September,0,2018
Nirmal,October,0,2018
Nirmal,November,0,2018
Nirmal,December,0,2018
Nizamabad,January,1,2018
Nizamabad,February,0,2018
Nizamabad,March,0,2018
Nizamabad,April,0,2018
Nizamabad,May,0,2018
Nizamabad,June,0,2018
Nizamabad,July,1,2018
Nizamabad,August,0,2018
Nizamabad,September,0,2018
Nizamabad,October,0,2018
Nizamabad,November,0,2018
Nizamabad,December,0,2018
Peddapalli,January,0,2018
Peddapalli,February,0,2018
Peddapalli,March,0,2018
Peddapalli,April,0,2018
Peddapalli,May,0,2018
Peddapalli,June,0,2018
Peddapalli,July,0,2018
Peddapalli,August,0,2018
Peddapalli,September,0,2018
Peddapalli,October,0,2018
Peddapalli,November,0,2018
Peddapalli,December,0,2018
Rajanna Sircilla,January,0,2018
Rajanna Sircilla,February,0,2018
Rajanna Sircilla,March,0,2018
Rajanna Sircilla,April,0,2018
Rajanna Sircilla,May,0,2018
Rajanna Sircilla,June,0,2018
Rajanna Sircilla,July,0,2018
Rajanna Sircilla,August,0,2018
Rajanna Sircilla,September,0,2018
Rajanna Sircilla,October,0,2018
Rajanna Sircilla,November,0,2018
Rajanna Sircilla,December,0,2018
Ranga Reddy,January,0,2018
Ranga Reddy,February,0,2018
Ranga Reddy,March,0,2018
Ranga Reddy,April,0,2018
Ranga Reddy,May,0,2018
Ranga Reddy,June,0,2018
Ranga Reddy,July,0,2018
Ranga Reddy,August,0,2018
Ranga Reddy,September,0,2018
Ranga Reddy,October,0,2018
Ranga Reddy,November,0,2018
Ranga Reddy,December,0,2018
Sangareddy,January,0,2018
Sangareddy,February,0,2018
Sangareddy,March,0,2018
Sangareddy,April,0,2018
Sangareddy,May,0,2018
Sangareddy,June,0,2018
Sangareddy,July,0,2018
Sangareddy,August,0,2018
Sangareddy,September,0,2018
Sangareddy,October,0,2018
Sangareddy,November,0,2018
Sangareddy,December,0,2018
Siddipet,January,0,2018
Siddipet,February,0,2018
Siddipet,March,0,2018
Siddipet,April,0,2018
Siddipet,May,0,2018
Siddipet,June,0,2018
Siddipet,July,0,2018
Siddipet,August,0,2018
Siddipet,September,0,2018
Siddipet,October,0,2018
Siddipet,November,0,2018
Siddipet,December,0,2018
Suryapet,January,0,2018
Suryapet,February,0,2018
Suryapet,March,0,2018
Suryapet,April,0,2018
Suryapet,May,0,2018
Suryapet,June,0,2018
Suryapet,July,0,2018
Suryapet,August,0,2018
Suryapet,September,0,2018
Suryapet,October,0,2018
Suryapet,November,0,2018
Suryapet,December,0,2018
Vikarabad,January,0,2018
Vikarabad,February,0,2018
Vikarabad,March,0,2018
Vikarabad,April,0,2018
Vikarabad,May,0,2018
Vikarabad,June,0,2018
Vikarabad,July,0,2018
Vikarabad,August,0,2018
Vikarabad,September,0,2018
Vikarabad,October,0,2018
Vikarabad,November,0,2018
Vikarabad,December,0,2018
Wanaparthy,January,0,2018
Wanaparthy,February,0,2018
Wanaparthy,March,0,2018
Wanaparthy,April,0,2018
Wanaparthy,May,0,2018
Wanaparthy,June,0,2018
Wanaparthy,July,0,2018
Wanaparthy,August,0,2018
Wanaparthy,September,0,2018
Wanaparthy,October,0,2018
Wanaparthy,November,0,2018
Wanaparthy,December,0,2018
Warangal (Rural),January,0,2018
Warangal (Rural),February,0,2018
Warangal (Rural),March,0,2018
Warangal (Rural),April,0,2018
Warangal (Rural),May,0,2018
Warangal (Rural),June,0,2018
Warangal (Rural),July,0,2018
Warangal (Rural),August,0,2018
Warangal (Rural),September,0,2018
Warangal (Rural),October,0,2018
Warangal (Rural),November,0,2018
Warangal (Rural),December,0,2018
Warangal (Urban),January,150,2018
Warangal (Urban),February,185,2018
Warangal (Urban),March,160,2018
Warangal (Urban),April,150,2018
Warangal (Urban),May,140,2018
Warangal (Urban),June,130,2018
Warangal (Urban),July,130,2018
Warangal (Urban),August,135,2018
Warangal (Urban),September,145,2018
Warangal (Urban),October,160,2018
Warangal (Urban),November,170,2018
Warangal (Urban),December,187,2018
Yadadri Bhongir,January,0,2018
Yadadri Bhongir,February,0,2018
Yadadri Bhongir,March,0,2018
Yadadri Bhongir,April,0,2018
Yadadri Bhongir,May,0,2018
Yadadri Bhongir,June,0,2018
Yadadri Bhongir,July,0,2018
Yadadri Bhongir,August,0,2018
Yadadri Bhongir,September,0,2018
Yadadri Bhongir,October,0,2018
Yadadri Bhongir,November,0,2018
Yadadri Bhongir,December,0,2018
Adilabad,January,0,2019
Adilabad,February,2,2019
Adilabad,March,0,2019
Adilabad,April,0,2019
Adilabad,May,0,2019
Adilabad,June,0,2019
Adilabad,July,0,2019
Adilabad,August,2,2019
Adilabad,September,0,2019
Adilabad,October,0,2019
Adilabad,November,2,2019
Adilabad,December,0,2019
Bhadradri Kothagudem,January,0,2019
Bhadradri Kothagudem,February,0,2019
Bhadradri Kothagudem,March,0,2019
Bhadradri Kothagudem,April,0,2019
Bhadradri Kothagudem,May,0,2019
Bhadradri Kothagudem,June,0,2019
Bhadradri Kothagudem,July,0,2019
Bhadradri Kothagudem,August,0,2019
Bhadradri Kothagudem,September,0,2019
Bhadradri Kothagudem,October,0,2019
Bhadradri Kothagudem,November,0,2019
Bhadradri Kothagudem,December,0,2019
Hyderabad,January,35920,2019
Hyderabad,February,25621,2019
Hyderabad,March,21929,2019
Hyderabad,April,18267,2019
Hyderabad,May,17317,2019
Hyderabad,June,20077,2019
Hyderabad,July,27874,2019
Hyderabad,August,22725,2019
Hyderabad,September,34018,2019
Hyderabad,October,28706,2019
Hyderabad,November,32762,2019
Hyderabad,December,34084,2019
Jagtial,January,0,2019
Jagtial,February,0,2019
Jagtial,March,0,2019
Jagtial,April,0,2019
Jagtial,May,0,2019
Jagtial,June,0,2019
Jagtial,July,0,2019
Jagtial,August,0,2019
Jagtial,September,0,2019
Jagtial,October,0,2019
Jagtial,November,0,2019
Jagtial,December,0,2019
Jangaon,January,0,2019
Jangaon,February,0,2019
Jangaon,March,0,2019
Jangaon,April,0,2019
Jangaon,May,0,2019
Jangaon,June,0,2019
Jangaon,July,0,2019
Jangaon,August,0,2019
Jangaon,September,0,2019
Jangaon,October,0,2019
Jangaon,November,0,2019
Jangaon,December,0,2019
Jayashankar Bhoopalpally,January,45,2019
Jayashankar Bhoopalpally,February,0,2019
Jayashankar Bhoopalpally,March,0,2019
Jayashankar Bhoopalpally,April,0,2019
Jayashankar Bhoopalpally,May,0,2019
Jayashankar Bhoopalpally,June,0,2019
Jayashankar Bhoopalpally,July,0,2019
Jayashankar Bhoopalpally,August,0,2019
Jayashankar Bhoopalpally,September,0,2019
Jayashankar Bhoopalpally,October,0,2019
Jayashankar Bhoopalpally,November,0,2019
Jayashankar Bhoopalpally,December,0,2019
Jogulamba Gadwal,January,36,2019
Jogulamba Gadwal,February,6,2019
Jogulamba Gadwal,March,22,2019
Jogulamba Gadwal,April,16,2019
Jogulamba Gadwal,May,20,2019
Jogulamba Gadwal,June,22,2019
Jogulamba Gadwal,July,37,2019
Jogulamba Gadwal,August,42,2019
Jogulamba Gadwal,September,25,2019
Jogulamba Gadwal,October,13,2019
Jogulamba Gadwal,November,45,2019
Jogulamba Gadwal,December,11,2019
Kamareddy,January,0,2019
Kamareddy,February,0,2019
Kamareddy,March,0,2019
Kamareddy,April,0,2019
Kamareddy,May,0,2019
Kamareddy,June,0,2019
Kamareddy,July,0,2019
Kamareddy,August,0,2019
Kamareddy,September,0,2019
Kamareddy,October,0,2019
Kamareddy,November,0,2019
Kamareddy,December,0,2019
Karimnagar,January,0,2019
Karimnagar,February,0,2019
Karimnagar,March,0,2019
Karimnagar,April,0,2019
Karimnagar,May,0,2019
Karimnagar,June,0,2019
Karimnagar,July,0,2019
Karimnagar,August,0,2019
Karimnagar,September,0,2019
Karimnagar,October,0,2019
Karimnagar,November,0,2019
Karimnagar,December,0,2019
Khammam,January,0,2019
Khammam,February,0,2019
Khammam,March,0,2019
Khammam,April,0,2019
Khammam,May,0,2019
Khammam,June,0,2019
Khammam,July,0,2019
Khammam,August,0,2019
Khammam,September,0,2019
Khammam,October,0,2019
Khammam,November,0,2019
Khammam,December,0,2019
Komaram Bheem Asifabad,January,0,2019
Komaram Bheem Asifabad,February,0,2019
Komaram Bheem Asifabad,March,0,2019
Komaram Bheem Asifabad,April,0,2019
Komaram Bheem Asifabad,May,0,2019
Komaram Bheem Asifabad,June,0,2019
Komaram Bheem Asifabad,July,0,2019
Komaram Bheem Asifabad,August,0,2019
Komaram Bheem Asifabad,September,0,2019
Komaram Bheem Asifabad,October,0,2019
Komaram Bheem Asifabad,November,0,2019
Komaram Bheem Asifabad,December,0,2019
Mahabubabad,January,0,2019
Mahabubabad,February,0,2019
Mahabubabad,March,0,2019
Mahabubabad,April,0,2019
Mahabubabad,May,0,2019
Mahabubabad,June,0,2019
Mahabubabad,July,0,2019
Mahabubabad,August,0,2019
Mahabubabad,September,0,2019
Mahabubabad,October,0,2019
Mahabubabad,November,0,2019
Mahabubabad,December,0,2019
Mahbubnagar,January,45,2019
Mahbubnagar,February,29,2019
Mahbubnagar,March,28,2019
Mahbubnagar,April,34,2019
Mahbubnagar,May,20,2019
Mahbubnagar,June,28,2019
Mahbubnagar,July,47,2019
Mahbubnagar,August,44,2019
Mahbubnagar,September,34,2019
Mahbubnagar,October,37,2019
Mahbubnagar,November,68,2019
Mahbubnagar,December,26,2019
Mancherial,January,0,2019
Mancherial,February,0,2019
Mancherial,March,0,2019
Mancherial,April,0,2019
Mancherial,May,0,2019
Mancherial,June,0,2019
Mancherial,July,0,2019
Mancherial,August,0,2019
Mancherial,September,0,2019
Mancherial,October,0,2019
Mancherial,November,10,2019
Mancherial,December,0,2019
Medak,January,0,2019
Medak,February,0,2019
Medak,March,0,2019
Medak,April,0,2019
Medak,May,0,2019
Medak,June,0,2019
Medak,July,0,2019
Medak,August,0,2019
Medak,September,0,2019
Medak,October,0,2019
Medak,November,0,2019
Medak,December,0,2019
Kamareddy,January,0,2019
Kamareddy,February,0,2019
Kamareddy,March,0,2019
Kamareddy,April,0,2019
Kamareddy,May,0,2019
Kamareddy,June,0,2019
Kamareddy,July,0,2019
Kamareddy,August,0,2019
Kamareddy,September,0,2019
Kamareddy,October,0,2019
Kamareddy,November,0,2019
Kamareddy,December,0,2019
Karimnagar,January,0,2019
Karimnagar,February,0,2019
Karimnagar,March,0,2019
Karimnagar,April,0,2019
Karimnagar,May,0,2019
Karimnagar,June,0,2019
Karimnagar,July,0,2019
Karimnagar,August,0,2019
Karimnagar,September,0,2019
Karimnagar,October,0,2019
Karimnagar,November,0,2019
Karimnagar,December,0,2019
Khammam,January,0,2019
Khammam,February,0,2019
Khammam,March,0,2019
Khammam,April,0,2019
Khammam,May,0,2019
Khammam,June,0,2019
Khammam,July,0,2019
Khammam,August,0,2019
Khammam,September,0,2019
Khammam,October,0,2019
Khammam,November,0,2019
Khammam,December,0,2019
Komaram Bheem Asifabad,January,0,2019
Komaram Bheem Asifabad,February,0,2019
Komaram Bheem Asifabad,March,0,2019
Komaram Bheem Asifabad,April,0,2019
Komaram Bheem Asifabad,May,0,2019
Komaram Bheem Asifabad,June,0,2019
Komaram Bheem Asifabad,July,0,2019
Komaram Bheem Asifabad,August,0,2019
Komaram Bheem Asifabad,September,0,2019
Komaram Bheem Asifabad,October,0,2019
Komaram Bheem Asifabad,November,0,2019
Komaram Bheem Asifabad,December,0,2019
Mahabubabad,January,0,2019
Mahabubabad,February,0,2019
Mahabubabad,March,0,2019
Mahabubabad,April,0,2019
Mahabubabad,May,0,2019
Mahabubabad,June,0,2019
Mahabubabad,July,0,2019
Mahabubabad,August,0,2019
Mahabubabad,September,0,2019
Mahabubabad,October,0,2019
Mahabubabad,November,0,2019
Mahabubabad,December,0,2019
Mahbubnagar,January,45,2019
Mahbubnagar,February,29,2019
Mahbubnagar,March,28,2019
Mahbubnagar,April,34,2019
Mahbubnagar,May,20,2019
Mahbubnagar,June,28,2019
Mahbubnagar,July,47,2019
Mahbubnagar,August,44,2019
Mahbubnagar,September,34,2019
Mahbubnagar,October,37,2019
Mahbubnagar,November,68,2019
Mahbubnagar,December,26,2019
Mancherial,January,0,2019
Mancherial,February,0,2019
Mancherial,March,0,2019
Mancherial,April,0,2019
Mancherial,May,0,2019
Mancherial,June,0,2019
Mancherial,July,0,2019
Mancherial,August,0,2019
Mancherial,September,0,2019
Mancherial,October,0,2019
Mancherial,November,10,2019
Mancherial,December,0,2019
Medak,January,0,2019
Medak,February,0,2019
Medak,March,0,2019
Medak,April,0,2019
Medak,May,0,2019
Medak,June,0,2019
Medak,July,0,2019
Medak,August,0,2019
Medak,September,0,2019
Medak,October,0,2019
Medak,November,0,2019
Medak,December,0,2019
Medchal,January,,2019
Medchal,February,,2019
Medchal,March,,2019
Medchal,April,,2019
Medchal,May,,2019
Medchal,June,,2019
Medchal,July,,2019
Medchal,August,,2019
Medchal,September,,2019
Medchal,October,,2019
Medchal,November,,2019
Medchal,December,,2019
Adilabad,January,0,2020
Adilabad,February,0,2020
Adilabad,March,0,2020
Adilabad,April,0,2020
Adilabad,May,0,2020
Adilabad,June,0,2020
Adilabad,July,0,2020
Adilabad,August,0,2020
Adilabad,September,0,2020
Adilabad,October,0,2020
Adilabad,November,0,2020
Adilabad,December,0,2020
Bhadradri Kothagudem,January,0,2020
Bhadradri Kothagudem,February,0,2020
Bhadradri Kothagudem,March,0,2020
Bhadradri Kothagudem,April,0,2020
Bhadradri Kothagudem,May,0,2020
Bhadradri Kothagudem,June,0,2020
Bhadradri Kothagudem,July,0,2020
Bhadradri Kothagudem,August,0,2020
Bhadradri Kothagudem,September,0,2020
Bhadradri Kothagudem,October,0,2020
Bhadradri Kothagudem,November,0,2020
Bhadradri Kothagudem,December,0,2020
Hyderabad,January,25174,2020
Hyderabad,February,16521,2020
Hyderabad,March,3724,2020
Hyderabad,April,,2020
Hyderabad,May,,2020
Hyderabad,June,,2020
Hyderabad,July,,2020
Hyderabad,August,,2020
Hyderabad,September,6,2020
Hyderabad,October,76,2020
Hyderabad,November,128,2020
Hyderabad,December,230,2020
Jagtial,January,0,2020
Jagtial,February,0,2020
Jagtial,March,0,2020
Jagtial,April,0,2020
Jagtial,May,0,2020
Jagtial,June,0,2020
Jagtial,July,0,2020
Jagtial,August,0,2020
Jagtial,September,0,2020
Jagtial,October,0,2020
Jagtial,November,0,2020
Jagtial,December,0,2020
Jangaon,January,0,2020
Jangaon,February,0,2020
Jangaon,March,0,2020
Jangaon,April,0,2020
Jangaon,May,0,2020
Jangaon,June,0,2020
Jangaon,July,0,2020
Jangaon,August,0,2020
Jangaon,September,0,2020
Jangaon,October,0,2020
Jangaon,November,0,2020
Jangaon,December,0,2020
Jayashankar Bhoopalpally,January,0,2020
Jayashankar Bhoopalpally,February,0,2020
Jayashankar Bhoopalpally,March,0,2020
Jayashankar Bhoopalpally,April,0,2020
Jayashankar Bhoopalpally,May,0,2020
Jayashankar Bhoopalpally,June,0,2020
Jayashankar Bhoopalpally,July,0,2020
Jayashankar Bhoopalpally,August,0,2020
Jayashankar Bhoopalpally,September,0,2020
Jayashankar Bhoopalpally,October,0,2020
Jayashankar Bhoopalpally,November,0,2020
Jayashankar Bhoopalpally,December,0,2020
Jogulamba Gadwal,January,36,2020
Jogulamba Gadwal,February,6,2020
Jogulamba Gadwal,March,0,2020
Jogulamba Gadwal,April,0,2020
Jogulamba Gadwal,May,0,2020
Jogulamba Gadwal,June,0,2020
Jogulamba Gadwal,July,0,2020
Jogulamba Gadwal,August,0,2020
Jogulamba Gadwal,September,0,2020
Jogulamba Gadwal,October,0,2020
Jogulamba Gadwal,November,0,2020
Jogulamba Gadwal,December,0,2020
Kamareddy,January,0,2020
Kamareddy,February,0,2020
Kamareddy,March,0,2020
Kamareddy,April,0,2020
Kamareddy,May,0,2020
Kamareddy,June,,2020
Kamareddy,July,0,2020
Kamareddy,August,0,2020
Kamareddy,September,0,2020
Kamareddy,October,0,2020
Kamareddy,November,0,2020
Kamareddy,December,0,2020
Karimnagar,January,0,2020
Karimnagar,February,0,2020
Karimnagar,March,0,2020
Karimnagar,April,0,2020
Karimnagar,May,0,2020
Karimnagar,June,0,2020
Karimnagar,July,0,2020
Karimnagar,August,0,2020
Karimnagar,September,0,2020
Karimnagar,October,0,2020
Karimnagar,November,0,2020
Karimnagar,December,0,2020
Khammam,January,0,2020
Khammam,February,0,2020
Khammam,March,0,2020
Khammam,April,0,2020
Khammam,May,0,2020
Khammam,June,0,2020
Khammam,July,0,2020
Khammam,August,0,2020
Khammam,September,0,2020
Khammam,October,0,2020
Khammam,November,0,2020
Khammam,December,0,2020
Komaram Bheem Asifabad,January,0,2020
Komaram Bheem Asifabad,February,0,2020
Komaram Bheem Asifabad,March,0,2020
Komaram Bheem Asifabad,April,0,2020
Komaram Bheem Asifabad,May,0,2020
Komaram Bheem Asifabad,June,0,2020
Komaram Bheem Asifabad,July,0,2020
Komaram Bheem Asifabad,August,0,2020
Komaram Bheem Asifabad,September,0,2020
Komaram Bheem Asifabad,October,0,2020
Komaram Bheem Asifabad,November,0,2020
Komaram Bheem Asifabad,December,0,2020
Mahabubabad,January,0,2020
Mahabubabad,February,0,2020
Mahabubabad,March,0,2020
Mahabubabad,April,0,2020
Mahabubabad,May,0,2020
Mahabubabad,June,0,2020
Mahabubabad,July,0,2020
Mahabubabad,August,0,2020
Mahabubabad,September,0,2020
Mahabubabad,October,0,2020
Mahabubabad,November,0,2020
Mahabubabad,December,0,2020
Mahbubnagar,January,45,2020
Mahbubnagar,February,29,2020
Mahbubnagar,March,0,2020
Mahbubnagar,April,0,2020
Mahbubnagar,May,0,2020
Mahbubnagar,June,0,2020
Mahbubnagar,July,0,2020
Mahbubnagar,August,0,2020
Mahbubnagar,September,0,2020
Mahbubnagar,October,0,2020
Mahbubnagar,November,0,2020
Mahbubnagar,December,0,2020
Mancherial,January,0,2020
Mancherial,February,0,2020
Mancherial,March,0,2020
Mancherial,April,0,2020
Mancherial,May,0,2020
Mancherial,June,0,2020
Mancherial,July,0,2020
Mancherial,August,0,2020
Mancherial,September,0,2020
Mancherial,October,0,2020
Mancherial,November,0,2020
Mancherial,December,0,2020
Medak,January,0,2020
Medak,February,0,2020
Medak,March,0,2020
Medak,April,0,2020
Medak,May,0,2020
Medak,June,0,2020
Medak,July,0,2020
Medak,August,0,2020
Medak,September,0,2020
Medak,October,0,2020
Medak,November,0,2020
Medak,December,0,2020
Medchal,January,,2020
Medchal,February,,2020
Medchal,March,,2020
Medchal,April,,2020
Medchal,May,,2020
Medchal,June,,2020
Medchal,July,,2020
Medchal,August,,2020
Medchal,September,,2020
Medchal,October,,2020
Medchal,November,,2020
Medchal,December,,2020
Mulugu,January,70,2020
Mulugu,February,60,2020
Mulugu,March,15,2020
Mulugu,April,0,2020
Mulugu,May,0,2020
Mulugu,June,0,2020
Mulugu,July,0,2020
Mulugu,August,0,2020
Mulugu,September,0,2020
Mulugu,October,0,2020
Mulugu,November,0,2020
Mulugu,December,0,2020
Nagarkurnool,January,35,2020
Nagarkurnool,February,15,2020
Nagarkurnool,March,0,2020
Nagarkurnool,April,0,2020
Nagarkurnool,May,0,2020
Nagarkurnool,June,0,2020
Nagarkurnool,July,0,2020
Nagarkurnool,August,0,2020
Nagarkurnool,September,0,2020
Nagarkurnool,October,0,2020
Nagarkurnool,November,0,2020
Nagarkurnool,December,0,2020
Nalgonda,January,0,2020
Nalgonda,February,0,2020
Nalgonda,March,0,2020
Nalgonda,April,0,2020
Nalgonda,May,0,2020
Nalgonda,June,0,2020
Nalgonda,July,0,2020
Nalgonda,August,0,2020
Nalgonda,September,0,2020
Nalgonda,October,0,2020
Nalgonda,November,0,2020
Nalgonda,December,0,2020
Narayanpet,January,0,2020
Narayanpet,February,0,2020
Narayanpet,March,0,2020
Narayanpet,April,0,2020
Narayanpet,May,0,2020
Narayanpet,June,0,2020
Narayanpet,July,0,2020
Narayanpet,August,0,2020
Narayanpet,September,0,2020
Narayanpet,October,0,2020
Narayanpet,November,0,2020
Narayanpet,December,0,2020
Nirmal,January,0,2020
Nirmal,February,0,2020
Nirmal,March,0,2020
Nirmal,April,0,2020
Nirmal,May,0,2020
Nirmal,June,0,2020
Nirmal,July,0,2020
Nirmal,August,0,2020
Nirmal,September,0,2020
Nirmal,October,0,2020
Nirmal,November,0,2020
Nirmal,December,0,2020
Nizamabad,January,0,2020
Nizamabad,February,0,2020
Nizamabad,March,0,2020
Nizamabad,April,0,2020
Nizamabad,May,0,2020
Nizamabad,June,0,2020
Nizamabad,July,0,2020
Nizamabad,August,0,2020
Nizamabad,September,0,2020
Nizamabad,October,0,2020
Nizamabad,November,0,2020
Nizamabad,December,0,2020
Peddapalli,January,0,2020
Peddapalli,February,0,2020
Peddapalli,March,0,2020
Peddapalli,April,0,2020
Peddapalli,May,0,2020
Peddapalli,June,0,2020
Peddapalli,July,0,2020
Peddapalli,August,0,2020
Peddapalli,September,0,2020
Peddapalli,October,0,2020
Peddapalli,November,0,2020
Peddapalli,December,0,2020
Rajanna Sircilla,January,0,2020
